"","id","program_number","program_title","popular_name","objectives","website_address"
"2192",2192,"94.007","Program Development and Innovation Grants","Basic Innovative Grants","Innovation grants support innovative demonstration service programs that build the ethic of service among Americans of all ages and backgrounds. These include the September 11th and Martin Luther King, Jr., Day of Service grants, and Disability Outreach grants. Additional programs may be added based upon legislation and appropriation.","http://www.nationalservice.gov"
"2193",2193,"94.009","Training and Technical Assistance","Regional Training Conferences","To support the planning and delivery of regional training conferences that focus on strengthening and building the capacity of AmeriCorps programs and Senior Corps projects across the country.","http://www.nationalservice.gov"
"2194",2194,"94.011","Foster Grandparent Program","FGP","The Foster Grandparent Program (FGP) provides grants to qualified agencies and organizations for the dual purpose of engaging persons 55 years of age or older, with limited incomes, in volunteer service to meet critical community needs; and to provide a high quality volunteer experience that will enrich the lives of the volunteers. Program funds are used to support Foster Grandparents in providing supportive, person to person service to children with exceptional or special needs or in circumstances identified as limiting their academic, social, or emotional development.","http://www.nationalservice.gov/programs/senior-corps/foster-grandparents"
"2195",2195,"94.013","Volunteers in Service to America","AmeriCorps VISTA, VISTA, or Volunteers In Service To America","AmeriCorps VISTA is the national service program of the Corporation for National and Community Service (CNCS) designed specifically to fight poverty. VISTA supports efforts to alleviate poverty by engaging individuals, 18 years and older, from all walks of life, in a year of full-time service with a sponsoring organization (sponsor) to create or expand programs designed to bring individuals and communities out of poverty.","http://www.nationalservice.gov/programs/americorps/americorps-vista"
"2196",2196,"94.016","Senior Companion Program","SCP","The Senior Companion Program (SCP) provides grants to qualified agencies and organizations for the dual purpose of engaging persons 55 and older, particularly those with limited incomes, in volunteer service to meet critical community needs; and to provide a high quality experience that will enrich the lives of the volunteers. Program funds are used to support Senior Companions in providing supportive, individualized services to help adults with special needs maintain their dignity and independence.","http://www.nationalservice.gov/programs/senior-corps/senior-companions"
"2197",2197,"94.017","Senior Demonstration Program","SDP","To provide grants to qualified agencies for the purpose of conducting innovative activities involving older Americans as volunteers, including both volunteers receiving stipends and volunteers not receiving stipends.","http://www.seniorcorps.gov"
"2198",2198,"94.019","Social Innovation Fund","Social Innovation Fund (SIF)","To grow the impact of innovative community-based solutions that have compelling evidence of improving the lives of people in low-income communities throughout the United States. Direct resources toward increasing the evidence-base-capacity and scale of the organizations SIF funds in order to improve the lives of people served by those organizations.  

The Corporation for National and Community Service (CNCS) defines \x93social innovation\x94 as the development of a potentially transformative practice or approach to meeting critical social needs. By investing in social innovation as a driver of results and accountability, the federal government will play a central role in accelerating the spread of promising solutions to address our most pressing national and local challenges.

SIF awards are focused on improving measurable outcomes in the following priority areas:
\x95   Economic Opportunity \x96 Increasing the economic opportunities and financial stability for economically disadvantaged individuals and families
\x95   Youth Development \x96 Preparing America\x92s children and youth for success in school, active citizenship, productive work, and healthy and safe lives, including crime reduction initiatives focused on juvenile delinquency and victimization prevention and response
\x95   Healthy Futures \x96 Improving health outcomes, promoting healthy lifestyles and decreasing health disparities that disproportionately affect low-income communities.

In addition to addressing one or more of the above issue areas (which is a mandatory requirement), CNCS is particularly interested in supporting applications that propose to include one or more of the following optional priorities:
\x95   Juvenile Justice (strategies to improve outcomes for youth involved in, or at risk for involvement with, the juvenile justice system)
\x95   Technology ( strategies to utilize technology to increase the impact of the proposed evidence-based social programs)
\x95   Early Childhood Education (strategies to expand access to high quality early learning education for children through age five that prepares them for lifelong success).

SIF competitively selects experienced grantmaking institutions (recipients) to do the critical work of identifying promising solutions to community problems and selecting high-performing nonprofit community organizations (subrecipients) on a competitive basis.  To be awarded funding, intermediaries must demonstrate:
\x95they have advanced beyond the beginning stages, are showing signs of effectiveness and have the potential for greater scale (larger programmatic and scaling dollars are awarded to programs that show higher levels of evidence and have the potential for greater impact); also must have at least preliminary evidence of effectiveness and then undergo rigorous, independent, formal evaluations
\x95a track record of using rigorous evidence to select, invest in, and monitor the growth and progression of their grantees
\x95expertise and demonstrated impact in the proposed issue area(s) of focus
\x95depth and breadth of relationships with stakeholders in the issue area or region of focus.  

The SIF will also attract and leverage private donors to match federal dollars, bringing new resources to support promising organizations. The statute requires both the SIF intermediaries and their subgrantees to match their grants dollar-for-dollar, in cash, with non-federal funding.","http://www.nationalservice.gov/"
"2199",2199,"94.020","CNCS Disaster Response Cooperative Agreement","CNCS Disaster Response Team","The Corporation for National and Community Services (CNCS) Disaster Response Cooperative Agreement (DRCA) is an initiative through which national service programs provide support to communities affected by disaster and are reimbursed for expenses in times of disasters. Programs that hold a DRCA are part of the CNCS Disaster Response Team (DRT) Program, a national service disaster focused program. Only programs with an executed Disaster Response Cooperative Agreement will be eligible for deployment and reimbursement of expenses. Through the DRT Program, CNCS establishes cooperative agreements with eligible organizations that can provide national service participants to support disaster response. Organizations that want to be part of the CNCS DRT Program must be CNCS grantees and sub-grantees, to include AmeriCorps State, Senior Corps, State Service Commissions, and AmeriCorps National Direct. Only programs with an executed Disaster Response Cooperative Agreement will be eligible for deployment and reimbursement of expenses.","http://www.nationalservice.gov/focus-areas/disaster-services"
"2200",2200,"94.021","Volunteer Generation Fund","Volunteer Generation Fund","The Volunteer Generation Fund will increase the number of people who serve in meaningful roles as volunteers dedicated to addressing important needs in communities across America. More specifically, the Fund will support efforts that expand the capacity of volunteer connector organizations to recruit, manage, support, and retain individuals to serve in high quality assignments, including those that are aligned with special days of service such as the Martin Luther King Jr. Day of Service and the September 11th National Day of Service and Remembrance.","http://www.nationalservice.gov/programs/volunteer-generation-fund"
"2201",2201,"94.023","AmeriCorps VISTA Training & Logistics Support","VISTA (Volunteers in Service to America)","To provide training and technical assistance to the AmeriCorps VISTA program in the professional development of its members and supervisory staff at community-based organizations and agencies.","http://www.nationalservice.gov"
"2202",2202,"94.024","Social Innovation Fund Pay for Success","Pay for Success","The Pay for Success program aims to increase investments in effective social interventions by changing the way government allocates and invests its resources-focusing on results and outcomes. The Pay for Success Grant Competition seeks to encourage the implementation of Pay for Success strategies in order to enhance the reach and impact of innovative community-based solutions that have compelling evidence of improving the lives of people in low-income communities.","http://www.nationalservice.gov/programs/social-innovation-fund/our-programs/pay-success"
"2203",2203,"94.025","Operation AmeriCorps ","Operation AmeriCorps","The Corporation for National and Community Service (CNCS) is seeking to partner with localities to use national service as the transformative catalyst to address a pressing problem. Tribal and local leaders (a mayor or other chief executive) will identify a high priority local challenge which AmeriCorps members from all three streams of service\x97AmeriCorps State and National, AmeriCorps NCCC, and AmeriCorps VISTA\x97can holistically address in a relatively short period of time (no more than two years). The solution must be place-based and ambitious in order to succeed in the competition. The solution may be a new initiative, or it may use national service to scale up an existing successful effort.","http://www.nationalservice.gov/programs/americorps/operation-americorps"
"2204",2204,"94.026","National Service and Civic Engagement Research Competition","","To further achieve its mission, CNCS has a strong belief in the importance of research in order to identify effective strategies for national service and increase the evidence-base for its programs. This means engaging the broader community of academic researchers involved in studying and evaluating national service, volunteerism, and civic infrastructure. The goal of this competition is to increase the nation\x92s understanding and knowledge about the importance and potential of volunteering, national and community service, and/or civic engagement in America.  We are seeking applications that build on existing research in the field, address gaps in knowledge, and provide new ideas and methodological approaches to the study of national service.","http://www.nationalservice.gov"
"2205",2205,"95.001","High Intensity Drug Trafficking Areas Program","(HIDTA)","To reduce drug trafficking and drug production in the United States by-- (A) facilitating cooperation among Federal, State, local, and tribal law enforcement agencies to share information and implement coordinated enforcement activities; (B) enhancing law enforcement intelligence sharing among Federal, State, local, and tribal law enforcement agencies; (C) providing reliable law enforcement intelligence to law enforcement agencies needed to     design effective enforcement strategies and operations; and (D) supporting coordinated law enforcement strategies which maximize use of available resources to reduce the supply of illegal drugs in designated areas and in the United States as a whole.","https://www.whitehouse.gov/ondcp"
"2206",2206,"95.004","Anti-Doping Activities","","The Office of National Drug Control Policy (ONDCP), Executive Office of the President, is seeking applications from a grantee to provide continued support of anti-doping efforts to educate athletes on the dangers of drug use and eliminate doping in amateur athletic competitions recognized by the United States Olympic Committee. Specifically:

1)	Provide continued support of anti-doping efforts to educate athletes on the dangers of drug use and eliminate doping in amateur athletic competitions recognized by the United States Olympic Committee;
2)	Provide support for athlete drug testing programs, research initiatives, educational programs and efforts to inform athletes of the adopted rules governing the use of prohibited substances outlined in the World Anti-Doping Code (the Code); and
3)	Provide support for legal efforts to enforce compliance with the Code and adjudicate athlete appeals involving doping violations.","No Data Available"
"2207",2207,"95.005","Drug Court Training and Technical Assistance","","The Administration supports a combined public health and public safety approach to reducing drug use and its consequences. Three facts guide our drug policy: (1) addiction is a disease that can be treated; (2) people can recover; and, (3) we cannot arrest our way out of the drug problem. The National Drug Control Strategy recognizes that for individuals who come into contact with the justice system, substance use disorders must be identified and treated as early in the justice process as possible, and incarceration cannot be the only (or even the primary) response to people with substance use disorders.  Drug courts and other evidence-based diversion programs are key to the success of this approach.  The Office of National Drug Control Policy (ONDCP) will award one or more Federal grants to establish training, technical assistance, and other resources to advance criminal justice reforms, including drug courts that respond to the needs of justice-involved individuals with substance use disorders.","No Data Available"
"2208",2208,"95.006","Model State Drug Laws Initiative","","The purpose of ONDCP\x92s Model State Drug Laws Initiative is to conduct research and analysis, provide technical assistance, and draft model state drug and alcohol laws, policies and programs as established by PL109-469, Section 1105, MODEL ACTS and in accordance with the President\x92s Commission on Model State Drug Laws in 1993. Through this Initiative, ONDCP aims to assist policymakers and practitioners in developing comprehensive laws, policies and programs on current and emerging drug and alcohol issues facing states and localities.","No Data Available"
"2209",2209,"95.007","Research and Data Analysis","","The purpose of research and data analysis is to inform policy formulation and assessment.  The work involves research and analysis of data as it pertains to drug policy.","No Data Available"
"2210",2210,"95.008","Drug-Free Communities Support Program - National Youth Leadership Initiative","","Implementation of National Youth Leadership Initiative (NYLI) at the National Leadership Forum and the Mid-Year Training Institute. Also develop infrastructure to expand outreach by the NYLI to diverse youth populations. These functions would further assist in providing technical assistance to Drug-Free community coalitions in their substance use prevention efforts.","No Data Available"
"2211",2211,"96.001","Social Security_Disability Insurance","","To replace part of the earnings lost because of a physical or mental impairment, or a combination of impairments, severe enough to prevent a person from working.","http://www.socialsecurity.gov ."
"2212",2212,"96.002","Social Security_Retirement Insurance","","To replace part of the earnings lost due to retirement.","http://www.socialsecurity.gov ."
"2213",2213,"96.004","Social Security_Survivors Insurance","","To replace part of the earnings lost to dependents because of the worker's death.","http://www.socialsecurity.gov ."
"2214",2214,"96.006","Supplemental Security Income","","To ensure a minimum level of income to persons who have attained age 65 or are blind or disabled, and whose income and resources are below specified levels.","http://www.socialsecurity.gov"
"2215",2215,"96.007","Social Security_Research and Demonstration","(SSA Research and Demonstration)","(1) To conduct social, economic, and demographic research on topics important to the Social Security Old Age, Survivors and Disability Insurance and Supplemental Security Income (SSI) programs and the current and future well-being of their beneficiaries; (2) to develop and carry out experiments and research demonstration projects to determine the efficacy of: (a) alternative ways of rehabilitating beneficiaries and encouraging their return to work; and (b) modifying conditions applicable to such beneficiaries including: (i) early referral for rehabilitation services; and (ii) greater use of employers and others in the rehabilitation and placement process.","http://www.ssa.gov"
"2216",2216,"96.008","Social Security - Work Incentives Planning and Assistance Program ","(SSA Work Incentives Planning and Assistance (WIPA) Program)  or Work Incentives Outreach Program","To comply with the Ticket-to-Work and Work Incentives Improvement Act (TWWIIA) which was passed in December 1999, and reauthorized by the Social Security Protection Act of 2004, which requires the SSA to establish a community-based work incentives planning and assistance program. The purpose of the program is to support beneficiaries who want to return to work to make a successful and profitable transition to the workforce.  Beneficiaries that continue to work improve their economic independence and financial security.  WIPA projects help beneficiaries take advantage of our work incentives programs, which may delay or reduce the effect of work on monetary benefits and health insurance.  Additionally, WIPA projects act as repositories for information about other work incentives, benefits counseling services, and other resources that may help beneficiaries succeed in their work attempts, or may assist beneficiaries to improve financial stability as they return to work.","http://www.ssa.gov"
"2217",2217,"96.009","Social Security State Grants for Work Incentives Assistance to Disabled Beneficiaries","Protection and Advocacy for Beneficiaries of Social Security (PABSS)","To comply with the Ticket-to-Work and Work Incentives Improvement Act legislation passed in December 1999, permitting the SSA to make payments to each State to the protection and advocacy system established for the purpose of providing services to disabled beneficiaries who want to work.","http://www.ssa.gov"
"2218",2218,"96.020","Special Benefits for Certain World War II Veterans","(Special Veterans Benefits; SVB)","To pay a special benefit to certain World War II veterans, who are eligible for Supplemental Security Income (SSI) benefits and meet other specified criteria for each month that they reside outside of the United States.","http://www.socialsecurity.gov ."
"2219",2219,"96.021","Social Security Economic Recovery Act Payments","Economic Recovery Act Payments","The new program is the $13 billion in Economic Recovery Act payments that SSA will be paying recipients in May 2009.","http://www.socialsecurity.gov/"
"2220",2220,"97.005","State and Local Homeland Security National Training Program","FY 2014 Homeland Security National Training Program National Domestic Preparedness Consortium (NDPC) and Continuing Training Grants (CTG) ","The Homeland Security National Training Program (HSNTP), consisting of the National Domestic Preparedness Consortium (NDPC) and Continuing Training Grants (CTG) program plays an important role in the implementation of the National Preparedness System (NPS) by supporting the building, sustainment, and delivery of core capabilities essential to achieving the National Preparedness Goal (NPG) of a secure and resilient Nation.  (http://www.fema.gov/national-preparedness-goal) 

The objective of the HSNTP is to support nationwide training initiatives and further the mission of FEMA. In order to achieve the intended objective of the HSNTP, all training developed with HSNTP funds must support FEMA\x92s all-hazards mission and reflect the following key priority areas: use of existing training mechanisms; linking training to exercise activities; incorporating the core capabilities identified in the National Preparedness Goal and the National Preparedness System components; and utilizing an adult learning and national delivery approach whereby curriculum is delivered via an integrated, collaborative approach. 

Where possible, efforts will be made in the development and delivery of training programs to support the implementation of risk driven, capabilities-based State Homeland Security Strategies to address capability targets set in urban area, state, and regional Threat and Hazard Identification and Risk Assessments (THIRAs). The capability levels assessed in the State Preparedness Report (SPR) should be used to inform planning, organization, equipment, training, and exercise needs to prevent, protect against, mitigate, respond to, and recover from acts of terrorism and other catastrophic events.","http://www.fema.gov/government/grant/index.shtm"
"2221",2221,"97.007","Homeland Security Preparedness Technical Assistance Program","(HSPTAP)","The Homeland Security Technical Assistance Program (HSPTAP) is established to build State, local, tribal and territorial (SLTT) capabilities to prevent, protect against, respond to, and recover from major events, including threats or acts of terrorism. 
This overarching programmatic goal of building state and local capabilities will be achieved through various means and methods, each one aimed at making achieving the National Preparedness Goal and furthering our collective efforts to remain a safe and secure nation. 
Specific program activities anticipated for achieving this goal will include, but will not be limited to: 

\x95 production and dissemination of written products relating to emerging homeland security issues and established or model state homeland security efforts; 
\x95 providing educational seminars for apprising newly appointed Governor\x92s Homeland Security Advisors of federal homeland security doctrine, best-practices and established principles; 
\x95 facilitating calls, meetings, or discussions amongst representatives from key stakeholder groups on a regular basis which serve to share information, knowledge, experiences, and practices relating to current and emerging homeland security issues; and, 
\x95 convening trainings, workshops, and other meeting opportunities designed to bring together in a common forum nationwide HSAs, state, local and tribal Emergency Management Directors, as well as other professional organizations in the public and private sectors and to inform partners on the impacts of federal homeland security legislation, regulations and policies on the states. 

Each recipient will conduct these specific activities to support either State Emergency Management Directors, Homeland Security Advisors to further build State, local, tribal and territorial (SLTT) capabilities. 
An additional key purpose for the HSPTAP is that the program also furthers the building of a national system of emergency management capabilities that can effectively and efficiently utilize the full measure of the Nation's resources to respond to catastrophic incidents, including natural disasters, acts of terrorism, and other man-made emergencies or events. HSPTAP recipients will conduct activities that bring together the collective perspectives of state and local elected officials and the private sector to provide a broad-based sounding board on homeland security issues for all national stakeholders. The program will serve to establish, provide, and maintain a forum for organizations to exchange ideas, conduct targeted discussions, as well as to provide technical assistance to governors\x92 offices, associations and organizations on all relevant homeland security policy areas. 

Finally, HSPTAP will engage the recipient organizations which can work closely with FEMA to develop, transfer, and institutionalize pertinent knowledge at the State and local level for addressing current public policy challenges facing State EM Directors, HSAs and other state and local emergency management officials. HSPTAP recipients, through collaboration with FEMA and other national, regional, state and local entities, will facilitate focused and enhanced communication and coordination among all disciplines and levels of government to address the complex challenges of developing and implementing homeland security policies and practices including: intelligence sharing; State homeland security organization, structure and governance; communications interoperability; critical infrastructure protection; and all hazards disaster prevention, protection, mitigation, preparedness, response and recovery to include areas of emergency management, homeland security, fire, law enforcement, Emergency Management Services (EMS), agriculture, National Guard, emergency communications, and public works. 
In sum, in addition to building state and local capabilities, the activities conducted under the HSPTAP are structured to address the full spectrum of mission areas, national priorities, and core capabilities outlined in the National Preparedness System and are critical to achieving the National Preparedness Goal. 

II. Funding 
QHSR Linkage:
Mission 5: Ensuring Resilience to Disasters
Goal 5.2 Enhance Preparedness
Goal 5.3: Ensure Effective Emergency Response PPD-8 Linkage:
This program fully aligns with the National Preparedness Goal, National Preparedness System.","http://www.fema.gov"
"2222",2222,"97.008","Non-Profit Security Program","NSGP","The NSGP provides funding support for target hardening and other physical security enhancements to nonprofit organizations that are at high risk of a terrorist attack and located within one of the urban areas receiving funding under the Fiscal Year (FY) 2016 Urban Area Security Initiative (UASI).  The program seeks to integrate the preparedness activities of nonprofit organizations that are at high risk of a terrorist attack with broader state and local preparedness efforts.  The NSGP also serves to promote emergency preparedness coordination and collaboration activities between public and private community representatives as well as state and local government agencies.  The NSGP supports the Quadrennial Homeland Security Review Mission to Strengthen National Preparedness and Resilience.

Objectives
The FY 2016 NSGP objectives are to support efforts that:
\x95	Build and sustain core capabilities
\x95	Strengthen governance integration between private nonprofit entities and federal, state, and local governments
\x95	Encourage a whole community approach to security and emergency management.","http://www.fema.gov/government/grant/index"
"2223",2223,"97.026","Emergency Management Institute Training Assistance","(Student Stipend Reimbursement Program (SEP)","To defray travel and per diem expenses of State, local, tribal, and Territorial  emergency management personnel who attend training courses conducted by the Emergency Management Institute, at the Emmitsburg, Maryland facility; the Center for Domestic Preparedness in Anniston, Alabama; and selected off-site locations. Its purpose is to improve emergency management practices among State, local, tribal, and Territorial government managers, in response to emergencies and disasters. Programs embody the Comprehensive Emergency Management System by unifying the elements of management common to all emergencies: planning, preparedness, mitigation, response, and recovery. EMI training is conducted in an effort to strengthen the security and resilience of the United States through systematic preparation for the threats that pose the greatest risk to the security of the Nation, including acts of terrorism, cyber attacks, pandemics, and catastrophic natural disasters.","http://www.training.fema.gov"
"2224",2224,"97.009","Cuban/Haitian Entrant  Program","","(1) To provide primary resettlement services to Cubans and Haitians, paroled into the United States by the Department of Homeland Security (DHS) for humanitarian reasons and; (2) to provide secondary resettlement assistance to Cuban and Haitian entrants living in south Florida whose initial resettlement did not lead to their achievement of economic self-sufficiency.","http://www.dhs.gov"
"2225",2225,"97.010","Citizenship Education and Training","","The goal of the Citizenship and Integration Grant Program is to expand the availability of high quality citizenship preparation services for lawful permanent residents in communities across the nation. Additional activities that support this goal include making citizenship instruction and naturalization application services accessible to low-income and other underserved lawful permanent resident populations; developing, identifying, and sharing promising practices in citizenship preparation; supporting innovative and creative solutions to barriers faced by those seeking naturalization; increasing the use of and access to technology in citizenship preparation programs; working with local libraries, which serve as a vital resource for immigrant communities; and incorporating strategies to foster welcoming communities as part of the citizenship and civic integration process.","http://www.uscis.gov/grants"
"2226",2226,"97.012","Boating Safety Financial Assistance","","Awards are made to States to encourage greater participation and uniformity in boating safety, permit the States to assume the greater share of boating safety education, assistance, and enforcement activities, and to assist the States in developing, carrying out and financing their recreational boating safety programs. Awards are made available to national non-profit public service organizations to support national recreational boating safety activities.  Awards for a national recreational boating safety survey are designed to gather information necessary to produce valid and reliable estimates of: the numbers of different types and sizes of boats that are owned in the continental United States, Alaska, Hawaii, District of Columbia and Puerto Rico; the number of boats that are operated on the water; the number of days and hours that boats are operated and the number of persons aboard; the number and characteristics of persons comprising the general population that go out on the water in recreational boats; and other needed data regarding recreational boating safety.","http://www.uscgboating.org "
"2227",2227,"97.018","National Fire Academy Training Assistance","Student Stipend Reimbursement Program","To provide travel stipends to first responders and emergency managers attending Academy courses. NFA curricula and programs are designed to support PPD-8 through training programs which support State and local response agencies to prevent, mitigate, prepare for, and respond, and recover from man-made and natural disasters at local, regional, and national levels.","http://www.usfa.fema.gov"
"2228",2228,"97.022","Flood Insurance","","To enable personal and business property owners and renters to purchase flood insurance coverage for buildings and/or contents in low-to-moderate flood risk areas, as well as in high-risk flood zones to reduce taxpayer provided federal disaster assistance and to promote wise floodplain management practices in the Nation's high-risk flood zones.","http://www.fema.gov/business/nfip"
"2229",2229,"97.023","Community Assistance Program State Support Services Element (CAP-SSSE)","(CAP-SSSE)","To provide, through a Cooperative Agreement , a means to ensure that communities participating in the National Flood Insurance Program (NFIP) are achieving flood loss reduction goals of the NFIP. CAP-SSSE funds are to be used by States to provide technical assistance to NFIP communities, to evaluate community implementation/performance of NFIP floodplain management activities, and to build State and community floodplain management expertise and capacity.

The CAP-SSSE program supports the Mitigation Mission Area Capabilities and Targets described in the National Preparedness Goal (NPG) under \x93Planning\x94 and \x93Risk and Disaster Resilience Assessment\x94.","http://www.fema.gov"
"2230",2230,"97.024","Emergency Food and Shelter National Board Program","(EFSP)","Program funds support the National Preparedness Goal (NPG) by complementing actions undertaken to achieve an \x93all-of-Nation preparedness approach that optimizes the use of available resources.\x94  When a disaster strikes, it is often the poor or those with economic vulnerabilities who suffer the most.  By providing emergency economic assistance that keeps people off the streets, from being evicted from their homes, or with groceries to prevent hunger, the EFSP prepares a population that could otherwise be even more adversely impacted by a disaster situation and mitigates potential burdens imposed on recovery efforts to assist such people.  

For additional details on the NPG, please refer to http://www.fema.gov/pdf/prepared/npg.pdf.","http://www.fema.gov"
"2231",2231,"97.025","National Urban Search and Rescue (US&R) Response System","(US&R)
 
","The purpose of this Readiness Cooperative Agreement is to support the continued development and maintenance of a national urban search and rescue capability among the 28 task forces within the National Urban Search and Rescue Response System. 

This program supports Mission Area: Response, Mass Search and Rescue Operations, with the target of conducting search and rescue operations in order to locate and rescue persons in distress, based on the requirements of the state and local authorities. This program supports Presidential Policy Directive 8 \x96 National Preparedness, designed to help guide the domestic efforts of all levels of government, the private and nonprofit sectors, and the public to build and sustain the capabilities outlined in the national preparedness goal.","http://www.fema.gov"
"2232",2232,"97.027","Emergency Management Institute (EMI)_Independent Study Program","ISP ","The program currently consists of over 180 courses available to participants, with the objective of enhancing public and selected audience knowledge of emergency management practices among officials of Federal, State, local and tribal governments and voluntary organizations to strengthen the security and resilience of the United States through systematic preparation for the threats that pose the greatest risk to the security of the Nation, including acts of terrorism, cyber attacks, pandemics, and catastrophic natural disasters.","http://www.training.fema.gov/IS"
"2233",2233,"97.028","Emergency Management Institute (EMI)_Resident Educational Program","","To improve emergency management practices among State, local and tribal government managers, and Federal officials as well, in response to emergencies and disasters. Programs embody the Comprehensive Emergency Management System by unifying the elements of management common to all emergencies: planning, preparedness, mitigation, response, and recovery. EMI training is conducted in an effort to strengthen the security and resilience of the United States through systematic preparation for the threats that pose the greatest risk to the security of the Nation, including acts of terrorism, cyber attacks, pandemics, and catastrophic natural disasters.","http://www.training.fema"
"2234",2234,"97.029","Flood Mitigation Assistance","(FMA)","To assist States, Federally - recognized Indian tribal governments, and communities with the goal of reducing or eliminating claims under the National Flood Insurance Program (NFIP). This program promotes implementation of activities designed to reduce injuries, loss of life, and damage and destruction to property from natural hazards which is consistent with DHS QHSR Goal 5.1, \x93Mitigate Hazards\x94 and links to Presidential Policy Directive (PPD-8) - National Preparedness, Security, Resilience, Prevention, Mitigation, Response, Protection, and Recovery.","http://www.fema.gov/flood-mitigation-assistance-grant-program"
"2235",2235,"97.030","Community Disaster Loans","","To provide loans subject to Congressional loan authority, to any local government that has suffered substantial loss of revenues in an area in which the President designates a major disaster in order to assist communities affected by an incident to recover effectively in accordance with PPD-8. The funds can only be used to maintain existing functions of a municipal operating character and the local government must demonstrate a need for financial assistance.","http://www.dhs.gov"
"2236",2236,"97.031","Cora Brown Fund","","To use funds made possible by a bequest of funds from the late Cora C. Brown of Kansas City, Missouri, who left a portion of her estate to the United States for the purpose of helping survivors of natural disasters not caused by or attributed to war. This fund supports disaster recovery for those survivors with unmet needs that cannot be addressed through other forms of assistance.","http://www.dhs.gov"
"2237",2237,"97.032","Crisis Counseling","(CCP)","The Crisis Counseling Assistance and Training Program (CCP) supports the Recovery core capability and mission area as defined in the National Preparedness Goal. It accomplishes this by assisting individuals and communities in recovering from the challenging effects of natural and human-caused disasters through the provision of community-based outreach and psycho-educational services.

The CCP goals are to:
Reach large numbers of people affected by disasters through face-to-face outreach to shelters, homes, and other locations.
\x95 Assess the emotional needs of survivors and make referrals to traditional behavioral health services when necessary.
\x95 Identify tangible needs and link survivors to community resources and disaster relief services.
\x95 Provide emotional support, education, basic crisis counseling, and connection to familial and community support systems.
\x95 Train and educate CCP staff and other community partners about disaster reactions, appropriate interventions, and CCP services.
\x95 Develop partnerships with local disaster and other organizations.
\x95 Work with local stakeholders to promote community resilience and recovery.
\x95 Collect and evaluate data to ensure quality services and justify program efforts.
\x95 Leave behind a permanent legacy of improved coping skills, educational and resource materials, and enhanced community linkages.","http://www.samhsa.gov"
"2238",2238,"97.033","Disaster Legal Services","(DLS)","The Disaster Legal Services Program (DLS) supports the NPG Mission Area of Recovery and the specific capability targets of economic recovery and health and social services.  DLS accomplishes this by providing legal assistance to low-income individuals who, prior to or as a result of a Presidentially declared disaster, are unable to secure legal services adequate to meet their disaster-related needs.","http://www.fema.gov"
"2239",2239,"97.034","Disaster Unemployment Assistance","(DUA)","The Disaster Unemployment Assistance (DUA) Program supports the NPG Mission Area of Recovery and the specific capability target of Economic Recovery.  DUA accomplishes this by providing temporary benefits to individuals whose employment or self-employment has been lost or interrupted as a direct result of a major disaster and who are not eligible for regular unemployment insurance (UI).","http://www.fema.gov"
"2240",2240,"97.036","Disaster Grants - Public Assistance (Presidentially Declared Disasters)","","To assist State, Tribal and local governments and eligible private non-profits in responding to and recovering from the devastating effects of disasters by providing assistance for debris removal, emergency protective measures and the repair, restoration, reconstruction or replacement of public facilities or infrastructure damaged or destroyed as the result of federally declared disaster or emergencies.","http://www.fema.gov"
"2241",2241,"97.039","Hazard Mitigation Grant","(HMGP)","The objective of the program is to provide funding support to states, Indian tribal governments, territories, communities, and other eligible applicants to reduce the risk of future damage, loss of life and property in any area affected by a major disaster. This program promotes implementation of activities designed to reduce injuries, loss of life, and damage and destruction to property from natural hazards which is consistent with DHS QHSR Goal 5.1, \x93Mitigate Hazards\x94 and links to Presidential Policy Directive (PPD-8) - National Preparedness, Security, Resilience, Prevention, Mitigation, Response, Protection, and Recovery.","http://www.fema.gov/government/mitigation.shtm"
"2242",2242,"97.040","Chemical Stockpile Emergency Preparedness Program","(CSEPP)","To enhance emergency preparedness capabilities of the States and local communities at the two chemical agent stockpile storage facilities. The purpose of the program is to assist States and local communities in efforts to improve their capacity to plan for and respond to accidents associated with the storage and ultimate disposal of chemical warfare materials.","http://www.dhs.gov"
"2243",2243,"97.041","National Dam Safety Program","","The National Dam Safety Program improves the safety of dams in the United States and strives achieve the key objective of \x93national dam safety hazard reduction.  The National Dam Safety Program implements the Department of Homeland Security and PPD-8 objective of hazard mitigation, to develop and maintain those capabilities necessary to reduce the loss of lives and property by lessening the impact of the failure of dams.  This is accomplished by supporting State and U.S. territory governments in the development and maintenance of dam safety programs,  and enabling States and U.S. territories to take precautions that ensure the safety of the dams, such as the development of regulatory authority for the design, construction, operation, and maintenance of dams, the undertaking of dam inspections, and development of Emergency Action Plans (EAPs) for dams.","http://www.fema.gov"
